Protein_ID,Type,Tm,pLDDT,Status
P0A6P1,meso,59.68508599,94.15,High quality
P0A6P5,thermo,60.4251668,74.33,High quality
P0A6P9,meso,49.5955211,97.49,High quality
P0A6Q3,thermo,67.12867245,97.12,High quality
P0A6R0,meso,45.11573692,97.79,High quality
P0A6S7,meso,50.55703502,94.63,High quality
P0A6T1,meso,58.67521908,98.37,High quality
P0A6U5,meso,46.18688278,91.83,High quality
P0A6V8,meso,44.34660197,96.17,High quality
P0A6W9,meso,41.485866,95.55,High quality
P0A6X7,meso,44.57366707,95.9,High quality
P0A6Y1,meso,42.25538738,98.01,High quality
P0A6Y5,meso,52.86813937,91.34,High quality
P0A6Y8,meso,47.54121339,92.21,High quality
P0A6Z3,meso,59.3593771,90.16,High quality
P0A705,meso,45.99017081,78.58,High quality
P0A707,meso,48.03643303,89.21,High quality
P0A715,meso,46.48736704,97.56,High quality
P0A717,meso,43.85328594,94.43,High quality
P0A722,meso,59.22313693,97.83,High quality
P0A729,meso,52.69336206,96.08,High quality
P0A734,thermo,69.58594707,80.61,High quality
P0A746,meso,45.8639988,94.61,High quality
P0A759,meso,57.71560335,97.51,High quality
P0A784,meso,51.02654481,97.01,High quality
P0A786,meso,58.85798464,94.37,High quality
P0A794,meso,52.43114882,97.04,High quality
P0A796,meso,57.36423264,95.88,High quality
P0A799,meso,58.01249338,96.45,High quality
P0A7B1,thermo,64.94087244,90.97,High quality
P0A7B8,meso,54.37523319,96.22,High quality
P0A7C6,thermo,60.79202236,98.41,High quality
P0A7D4,meso,47.86589379,95.14,High quality
P0A7D7,meso,43.08599801,96.43,High quality
P0A7E5,meso,48.56250298,94.16,High quality
P0A7F3,thermo,63.95406394,90.39,High quality
P0A7G2,meso,56.56988228,73.86,High quality
P0A7H6,meso,47.84006928,95.87,High quality
P0A7I4,meso,45.99234056,88.03,High quality
P0A7I7,thermo,62.00260676,94.65,High quality
P0A7J3,meso,58.47674465,65.73,Low quality (pLDDT < 70)
P0A7J7,meso,59.64152684,81.06,High quality
P0A7K2,thermo,60.15949578,78.21,High quality
P0A7K6,meso,48.4422571,94.14,High quality
P0A7L0,thermo,60.56101229,83.16,High quality
P0A7L8,thermo,68.71216572,91.76,High quality
P0A7M2,thermo,67.43145306,94.75,High quality
P0A7M6,thermo,69.24260856,87.27,High quality
P0A7M9,thermo,62.50797599,74.72,High quality
P0A7N9,thermo,63.12685975,84.92,High quality
P0A7P5,thermo,67.15174141,95.23,High quality
P0A7R1,meso,44.60744093,91.08,High quality
P0A7R5,thermo,61.64880477,88.83,High quality
P0A7R9,thermo,61.12716052,92.28,High quality
P0A7S3,thermo,63.10572739,96.31,High quality
P0A7S9,meso,54.7567451,91.77,High quality
P0A7T3,thermo,65.16678045,96.41,High quality
P0A7T7,thermo,66.96282405,90.71,High quality
P0A7U3,thermo,67.66097117,88.63,High quality
P0A7U7,thermo,64.42686294,94.64,High quality
P0A7V0,meso,53.49044875,93.52,High quality
P0A7V3,thermo,61.00228617,89.4,High quality
P0A7V8,thermo,65.07204073,93.24,High quality
P0A7W1,thermo,62.7897533,91.98,High quality
P0A7W7,meso,57.2139779,94.87,High quality
P0A7X3,thermo,61.73270857,93.0,High quality
P0A7X6,meso,54.94366286,90.11,High quality
P0A7Z0,meso,51.29889403,97.75,High quality
P0A7Z4,meso,58.51941653,84.77,High quality
P0A805,meso,44.35451027,89.82,High quality
P0A817,thermo,68.71797732,96.13,High quality
P0A821,meso,54.45827653,94.46,High quality
P0A823,meso,56.90110261,97.05,High quality
P0A825,thermo,64.62261973,97.86,High quality
P0A836,meso,50.69302832,94.93,High quality
P0A847,meso,46.33985102,96.31,High quality
P0A850,meso,45.71340568,88.63,High quality
P0A853,meso,57.05804243,96.77,High quality
P0A855,meso,55.45047223,94.28,High quality
P0A858,meso,52.51101078,97.17,High quality
P0A862,meso,54.10778322,94.72,High quality
P0A867,meso,55.62049723,97.6,High quality
P0A870,meso,49.50186698,97.82,High quality
P0A877,meso,48.16136576,95.21,High quality
P0A879,meso,51.7779199,97.04,High quality
P0A890,meso,56.87117554,92.78,High quality
P0A894,meso,52.44811144,89.78,High quality
P0A8A0,meso,46.34389313,91.97,High quality
P0A8C4,meso,55.40695952,91.89,High quality
P0A8E7,meso,45.85177232,96.77,High quality
P0A8F0,meso,46.87118084,97.3,High quality
P0A8G6,meso,46.21078945,97.78,High quality
P0A8H8,meso,48.39180272,87.45,High quality
P0A8J4,meso,48.65646297,86.71,High quality
P0A8K5,meso,47.06066406,94.62,High quality
P0A8L1,meso,46.49882595,96.76,High quality
P0A8M0,meso,58.03017656,95.81,High quality
P0A8M3,meso,52.2711485,94.34,High quality
P0A8N3,meso,45.53726487,95.16,High quality
P0A8N5,meso,46.20679005,94.63,High quality
P0A8P3,meso,53.12250567,79.6,High quality
P0A8T1,meso,54.27858017,87.24,High quality
P0A8T7,meso,58.02596344,85.92,High quality
P0A8V2,meso,57.65920205,90.18,High quality
P0A8W8,meso,48.76279024,95.59,High quality
P0A8X2,thermo,63.07098562,92.99,High quality
P0A8Z0,meso,46.32001084,94.58,High quality
P0A953,meso,47.43532206,97.9,High quality
P0A988,meso,49.19138673,95.4,High quality
P0A993,meso,42.43587215,93.14,High quality
P0A9A9,meso,53.39470217,93.07,High quality
P0A9B2,thermo,60.00015692,98.34,High quality
P0A9C3,meso,46.27034355,97.8,High quality
P0A9C5,meso,57.67059639,96.06,High quality
P0A9D2,thermo,66.0971216,98.11,High quality
P0A9D8,thermo,69.43446132,96.34,High quality
P0A9F3,meso,47.52663692,93.56,High quality
P0A9G6,meso,46.98637598,96.63,High quality
P0A9G8,meso,47.7527588,91.88,High quality
P0A9J8,meso,42.37627793,92.74,High quality
P0A9K3,meso,59.30080045,84.8,High quality
P0A9L3,meso,51.41330743,95.05,High quality
P0A9L8,thermo,68.17223182,96.22,High quality
P0A9M0,meso,50.0709817,86.75,High quality
P0A9M2,meso,47.04577409,93.37,High quality
P0A9M5,thermo,61.3005949,94.59,High quality
P0A9M8,meso,42.99885869,87.23,High quality
P0A9N4,meso,43.34784172,96.31,High quality
P0A9Q1,meso,58.26194072,91.09,High quality
P0A9Q7,thermo,65.49693936,94.63,High quality
P0A9Q9,meso,59.48352172,97.89,High quality
P0A9R4,meso,46.50104454,96.31,High quality
P0A9S3,meso,54.42243934,97.35,High quality
P0A9T0,meso,55.98562426,95.62,High quality
P0A9T4,meso,47.34047107,96.64,High quality
P0A9U3,meso,46.8511183,91.5,High quality
P0A9W3,meso,46.58336881,88.01,High quality
P0A9W9,meso,49.97478077,96.65,High quality
P0AA04,meso,46.18697487,96.93,High quality
P0AA10,meso,55.40448375,94.03,High quality
P0AA16,thermo,63.37963245,86.11,High quality
P0AA43,meso,44.96898093,95.75,High quality
P0AA47,meso,52.83791682,85.77,High quality
P0AA95,thermo,65.25347284,88.63,High quality
P0AAC8,thermo,60.94568417,93.98,High quality
P0AAI3,meso,48.36769242,82.13,High quality
P0AAI5,thermo,65.45085137,97.96,High quality
P0AAI9,meso,57.11721698,97.52,High quality
P0AAN9,meso,46.91528983,88.04,High quality
P0AAQ2,meso,46.42638193,84.96,High quality
P0AAT9,thermo,65.92925605,87.41,High quality
P0AAX8,meso,47.00897337,91.68,High quality
P0AB24,meso,53.91872376,91.9,High quality
P0AB26,meso,59.83817189,90.28,High quality
P0AB28,thermo,64.97911287,90.97,High quality
P0AB55,meso,56.44368569,98.23,High quality
P0AB67,meso,58.24363145,90.28,High quality
P0AB71,meso,49.6777831,94.75,High quality
P0AB77,meso,54.03076429,97.25,High quality
P0AB80,meso,47.74649283,95.72,High quality
P0AB89,meso,48.27392491,96.94,High quality
P0AB91,meso,41.65769806,96.99,High quality
P0ABA0,thermo,62.53379499,90.69,High quality
P0ABA6,thermo,64.4695075,90.79,High quality
P0ABB0,thermo,64.78551266,92.49,High quality
P0ABB4,thermo,62.99244439,90.38,High quality
P0ABB8,meso,59.65318817,83.43,High quality
P0ABC3,meso,54.66543865,83.79,High quality
P0ABC7,meso,45.40616446,74.25,High quality
P0ABD3,meso,53.56153518,97.55,High quality
P0ABE2,thermo,61.14551934,90.54,High quality
P0ABF6,meso,55.60451501,97.85,High quality
P0ABH7,meso,59.21822709,94.22,High quality
P0ABI8,meso,47.85696595,93.53,High quality
P0ABK2,meso,45.72200978,93.65,High quality
P0ABP8,thermo,65.00979418,97.04,High quality
P0ABQ0,meso,46.0209647,93.64,High quality
P0ABU2,meso,41.28881459,90.49,High quality
P0ABU9,meso,52.77448085,91.78,High quality
P0ABZ4,meso,56.72923344,96.71,High quality
P0ABZ6,thermo,60.82937927,90.05,High quality
P0AC16,meso,56.55255448,95.58,High quality
P0AC33,meso,45.90847101,96.29,High quality
P0AC38,meso,52.64828389,97.1,High quality
P0AC41,meso,47.83082685,96.55,High quality
P0AC53,meso,56.44744846,93.66,High quality
P0AC59,meso,49.75544989,98.58,High quality
P0AC69,meso,54.1375344,84.47,High quality
P0AC92,meso,55.49873688,96.26,High quality
P0ACA1,meso,48.32287863,97.22,High quality
P0ACA3,meso,47.76521771,94.9,High quality
P0ACA7,meso,47.14534839,98.15,High quality
P0ACB2,thermo,63.55140967,97.97,High quality
P0ACC7,meso,45.19440002,96.48,High quality
P0ACD4,meso,45.70261281,86.67,High quality
P0ACE7,meso,48.00370848,95.66,High quality
P0ACF0,meso,58.22297632,96.62,High quality
P0ACF8,meso,43.61706799,85.61,High quality
P0ACJ0,meso,56.84399812,93.19,High quality
P0ACK2,thermo,61.65016556,89.78,High quality
P0ACL5,meso,46.8512539,87.63,High quality
P0ACP7,meso,45.59918893,95.4,High quality
P0ACR9,meso,45.91119634,90.02,High quality
P0ACX3,thermo,69.21627204,96.28,High quality
P0ACY1,meso,45.31699951,95.93,High quality
P0ACY3,meso,46.66518416,89.47,High quality
P0ACZ8,meso,43.70740413,85.65,High quality
P0AD49,meso,47.95002869,88.94,High quality
P0AD59,meso,50.47103239,89.07,High quality
P0AD61,thermo,60.91681101,95.74,High quality
P0AD96,thermo,64.75387757,95.19,High quality
P0ADA1,meso,59.74082396,91.45,High quality
P0ADA3,meso,56.70811177,68.74,Low quality (pLDDT < 70)
P0ADE8,meso,47.9452311,96.5,High quality
P0ADF6,meso,50.66228441,95.36,High quality
P0ADI7,meso,58.49032844,98.42,High quality
P0ADN2,meso,48.67060611,82.03,High quality
P0ADP0,meso,46.68419576,95.43,High quality
P0ADR8,meso,49.58033934,92.8,High quality
P0ADS9,meso,54.01900455,84.57,High quality
P0ADT5,meso,53.01118712,96.53,High quality
P0ADU2,meso,56.85776234,98.01,High quality
P0ADV1,meso,45.55911162,84.01,High quality
P0ADV5,meso,42.33191219,94.97,High quality
P0ADX5,meso,56.52546858,96.57,High quality
P0ADY1,meso,50.43229692,91.81,High quality
P0ADY3,thermo,69.70591717,95.69,High quality
P0ADY7,meso,57.34765291,96.41,High quality
P0ADZ0,thermo,67.61608981,91.48,High quality
P0ADZ4,thermo,64.69255463,94.13,High quality
P0ADZ7,meso,57.60672968,82.6,High quality
P0AE01,meso,45.92103061,91.76,High quality
P0AE06,meso,45.73072698,84.94,High quality
P0AE08,thermo,62.76054247,97.5,High quality
P0AE18,meso,48.75784436,97.95,High quality
P0AEA8,meso,47.14415397,93.86,High quality
P0AEB7,meso,58.56154347,97.97,High quality
P0AED7,meso,57.77425516,96.57,High quality
P0AEE5,meso,50.37651894,94.29,High quality
P0AEG4,thermo,64.70077152,93.22,High quality
P0AEG6,meso,43.82625738,92.0,High quality
P0AEI1,meso,45.92723218,90.87,High quality
P0AEK4,meso,45.31869324,96.15,High quality
P0AEM9,meso,57.43597844,90.51,High quality
P0AEN1,meso,46.43270291,96.16,High quality
P0AEP3,meso,45.64779586,95.08,High quality
P0AEQ1,meso,55.54436476,96.65,High quality
P0AEQ3,thermo,62.00816073,92.45,High quality
P0AES0,meso,53.33677091,95.17,High quality
P0AES2,meso,54.79972802,97.88,High quality
P0AES4,meso,57.71649103,87.06,High quality
P0AES6,meso,52.49758983,87.69,High quality
P0AES9,meso,56.37663407,81.71,High quality
P0AET2,meso,56.82532444,71.93,High quality
P0AEU0,meso,51.10560834,93.8,High quality
P0AEX9,thermo,62.44183559,94.46,High quality
P0AEZ9,meso,56.73078011,97.5,High quality
P0AF12,meso,56.75927605,95.99,High quality
P0AF18,meso,58.63672704,98.42,High quality
P0AF50,thermo,60.62194075,91.69,High quality
P0AF63,meso,51.24852314,94.9,High quality
P0AFA7,meso,49.09479287,90.7,High quality
P0AFD1,meso,59.18467307,93.05,High quality
P0AFD6,meso,46.19503905,93.85,High quality
P0AFF6,meso,43.75966306,86.66,High quality
P0AFG0,meso,50.06225952,74.06,High quality
P0AFG3,meso,48.52017744,93.82,High quality
P0AFG8,meso,43.51088266,96.04,High quality
P0AFK0,meso,58.90283802,96.7,High quality
P0AFL3,meso,55.32300729,91.61,High quality
P0AFM2,meso,53.94055714,94.72,High quality
P0AFM6,meso,53.87112873,85.32,High quality
P0AFM9,thermo,69.44620727,86.55,High quality
P0AFU8,meso,47.34580725,95.03,High quality
P0AFX9,meso,46.53031045,91.33,High quality
P0AFZ3,meso,58.26236909,82.63,High quality
P0AG07,meso,56.47724044,97.5,High quality
P0AG16,meso,49.4673224,91.26,High quality
P0AG18,thermo,67.39583689,95.8,High quality
P0AG27,meso,52.369894,92.25,High quality
P0AG30,meso,45.66319763,93.5,High quality
P0AG51,meso,55.84387251,95.26,High quality
P0AG55,thermo,66.36736749,93.55,High quality
P0AG59,thermo,62.8812233,94.4,High quality
P0AG67,meso,47.63443446,70.17,High quality
P0AG78,thermo,69.21867368,95.13,High quality
P0AG80,meso,56.01630296,94.73,High quality
P0AG84,meso,50.27118738,98.29,High quality
P0AG86,meso,58.68830861,89.46,High quality
P0AGB0,meso,43.91771262,94.24,High quality
P0AGB6,meso,47.93761614,82.34,High quality
P0AGC3,meso,46.94456714,94.15,High quality
P0AGD1,thermo,67.93934175,94.72,High quality
P0AGE0,thermo,66.80431442,81.07,High quality
P0AGE6,meso,59.95565433,97.66,High quality
P0AGE9,meso,49.66539064,97.55,High quality
P0AGG0,meso,55.77132165,94.61,High quality
P0AGG2,meso,52.28534264,95.02,High quality
P0AGG8,thermo,64.71402353,98.04,High quality
P0AGJ5,meso,43.60998168,80.0,High quality
P0AGJ9,meso,53.07066071,93.99,High quality
P0C018,thermo,64.33970161,94.24,High quality
P0C037,meso,55.42940124,97.55,High quality
P0C093,meso,46.06037814,95.22,High quality
P0C0V0,meso,49.69799513,85.36,High quality
P0C8J6,meso,50.13870714,95.59,High quality
P0C8J8,meso,48.98561535,96.18,High quality
P0CK95,thermo,63.88223022,80.82,High quality
P10908,meso,56.329784,97.88,High quality
P11447,meso,59.09272788,95.72,High quality
P11454,meso,47.00510858,88.39,High quality
P11875,meso,48.15682131,94.1,High quality
P12281,meso,51.61878257,94.91,High quality
P12758,thermo,63.80223966,96.73,High quality
P12994,meso,53.83242708,97.95,High quality
P12996,meso,46.52221702,91.23,High quality
P13009,meso,44.46303852,91.3,High quality
P13024,meso,46.23634907,92.08,High quality
P13029,meso,50.75151706,95.55,High quality
P13445,meso,44.60750744,82.46,High quality
P13482,thermo,63.82135083,92.3,High quality
P14900,meso,48.60396665,96.0,High quality
P15034,meso,57.27467917,98.57,High quality
P15042,meso,46.18328092,88.99,High quality
P15254,meso,46.34757725,96.93,High quality
P15288,thermo,64.80478549,95.65,High quality
P15639,meso,50.70672636,96.14,High quality
P15640,meso,45.9020672,95.44,High quality
P15723,meso,46.90338038,95.22,High quality
P16456,meso,41.65964909,94.29,High quality
P16659,meso,47.12437229,95.38,High quality
P16679,meso,50.21123098,94.94,High quality
P16700,thermo,60.44725077,92.58,High quality
P17109,meso,43.79898417,96.58,High quality
P17115,meso,55.11926685,94.22,High quality
P17117,meso,51.83651279,97.17,High quality
P17169,meso,46.52154916,95.14,High quality
P17846,meso,44.469377,96.8,High quality
P17854,meso,47.39022447,93.19,High quality
P18133,meso,45.73664596,95.66,High quality
P18335,meso,46.61447666,97.88,High quality
P18390,meso,57.71468072,75.93,High quality
P18843,meso,45.09358488,96.06,High quality
P18956,thermo,60.45225099,91.62,High quality
P19926,meso,58.40204835,94.32,High quality
P20099,meso,45.94801961,96.94,High quality
P21156,meso,46.33672331,91.95,High quality
P21165,meso,47.03264934,97.22,High quality
P21170,meso,53.23295143,90.06,High quality
P21177,meso,48.6017771,95.7,High quality
P21367,meso,56.68373821,97.59,High quality
P21599,meso,48.76628955,94.56,High quality
P21888,meso,54.50251838,94.08,High quality
P21889,meso,59.71713796,94.83,High quality
P22106,meso,46.65172119,94.66,High quality
P22255,meso,55.60382376,95.25,High quality
P22256,thermo,69.53933742,97.44,High quality
P22259,meso,46.14686344,94.4,High quality
P22523,meso,45.28217856,81.56,High quality
P23256,thermo,60.64914586,97.41,High quality
P23538,meso,47.84191607,88.68,High quality
P23721,meso,59.91849569,98.14,High quality
P23827,meso,58.37061666,89.97,High quality
P23836,meso,42.60218438,91.27,High quality
P23839,meso,47.82832527,89.94,High quality
P23843,meso,55.71399416,95.1,High quality
P23845,meso,46.04313197,86.17,High quality
P23847,thermo,69.62495778,95.45,High quality
P23865,meso,43.49440434,92.46,High quality
P23869,meso,46.39630843,98.23,High quality
P23882,meso,48.19762579,96.47,High quality
P23908,meso,45.85208015,96.07,High quality
P23917,thermo,62.98040419,96.09,High quality
P24182,meso,45.90384771,95.56,High quality
P24186,thermo,60.95782369,96.33,High quality
P24230,thermo,68.39156121,83.36,High quality
P25437,meso,49.75401987,97.56,High quality
P25516,meso,49.0188317,95.09,High quality
P25526,meso,55.96424086,98.42,High quality
P25539,meso,51.09244891,95.8,High quality
P25553,thermo,60.58434167,98.4,High quality
P25665,meso,48.12304983,95.37,High quality
P25740,thermo,60.36883902,96.96,High quality
P25906,meso,48.81348814,95.88,High quality
P26612,meso,55.2003972,97.57,High quality
P26616,meso,41.28667014,94.53,High quality
P26646,meso,47.00948137,97.81,High quality
P27248,meso,48.65548064,97.12,High quality
P27250,meso,54.73660817,96.75,High quality
P27298,meso,54.24340163,96.79,High quality
P27302,meso,51.21514325,98.71,High quality
P27431,meso,45.4730152,96.9,High quality
P27550,meso,48.47614913,94.02,High quality
P27828,meso,58.39659593,95.44,High quality
P27830,meso,42.30044813,96.44,High quality
P28304,meso,57.4674487,97.36,High quality
P28904,meso,41.35960732,96.44,High quality
P29012,meso,58.33525689,97.42,High quality
P29217,meso,50.41124969,90.95,High quality
P29745,meso,52.34376797,97.13,High quality
P30125,meso,57.788858,96.51,High quality
P30177,thermo,69.50616151,96.26,High quality
P30178,meso,47.62874285,97.37,High quality
P30750,meso,46.48558473,93.15,High quality
P30850,meso,45.46226294,94.89,High quality
P30859,thermo,60.2716144,94.12,High quality
P30860,meso,58.79675193,94.43,High quality
P30870,meso,50.857375,92.74,High quality
P30958,meso,44.91210037,81.84,High quality
P31120,meso,57.2983118,95.48,High quality
P31133,thermo,68.8473216,94.07,High quality
P31142,meso,54.80233685,96.05,High quality
P31658,meso,56.57293586,97.28,High quality
P31663,meso,46.42227169,96.98,High quality
P31806,meso,56.11728666,93.69,High quality
P31979,thermo,65.17389237,94.56,High quality
P32157,meso,45.9506401,95.07,High quality
P32162,meso,50.23851973,77.63,High quality
P32662,meso,49.63959193,94.27,High quality
P32680,meso,46.14868791,96.09,High quality
P33030,meso,46.25494109,87.76,High quality
P33136,meso,57.66381256,94.57,High quality
P33195,thermo,62.27802118,96.78,High quality
P33221,meso,43.40238217,96.24,High quality
P33224,meso,47.07658702,96.64,High quality
P33362,meso,54.42938383,93.76,High quality
P33363,meso,58.4996645,96.15,High quality
P33570,meso,50.66050205,98.12,High quality
P33599,meso,49.98936543,92.63,High quality
P33602,meso,40.80613976,94.77,High quality
P33920,meso,42.567518,92.89,High quality
P35340,thermo,60.41023258,95.27,High quality
P36561,thermo,61.0317674,96.7,High quality
P36683,meso,45.79895276,95.36,High quality
P36767,meso,48.63511568,95.73,High quality
P36938,meso,58.52277686,97.34,High quality
P36979,meso,57.52141637,93.26,High quality
P37051,meso,58.61450949,96.41,High quality
P37329,thermo,65.18858629,93.18,High quality
P37330,thermo,66.96331003,96.61,High quality
P37349,meso,49.25262824,88.34,High quality
P37595,thermo,62.2607099,92.37,High quality
P37610,meso,57.10178838,96.2,High quality
P37631,thermo,61.52827205,96.74,High quality
P37634,thermo,61.68149959,94.95,High quality
P37666,meso,45.51821096,97.33,High quality
P37689,meso,58.52334932,96.88,High quality
P37744,meso,52.04854913,95.34,High quality
P37745,meso,44.16900255,97.58,High quality
P37747,meso,48.96151128,96.1,High quality
P37759,meso,44.30247162,97.67,High quality
P37760,meso,46.25918208,97.38,High quality
P37773,meso,58.09173754,95.17,High quality
P37794,thermo,66.89649359,96.6,High quality
P37902,thermo,60.61993872,94.37,High quality
P38038,meso,50.84698987,90.44,High quality
P38489,meso,46.93339841,98.44,High quality
P38521,meso,46.20582145,96.57,High quality
P39099,meso,59.36743158,86.12,High quality
P39172,thermo,67.9233678,87.77,High quality
P39173,meso,56.79797776,98.0,High quality
P39180,meso,52.02809845,89.65,High quality
P39187,meso,58.66276307,93.09,High quality
P39199,meso,45.46939773,95.78,High quality
P39274,meso,52.53308261,97.04,High quality
P39286,meso,42.67034286,81.31,High quality
P39315,meso,45.73005945,96.8,High quality
P39325,meso,49.35831712,95.43,High quality
P39371,meso,47.21154593,95.1,High quality
P39406,meso,48.56231377,93.55,High quality
P40120,meso,50.82037116,91.3,High quality
P40874,meso,54.62818287,97.81,High quality
P42620,thermo,66.6527393,97.12,High quality
P42641,meso,44.53164106,78.07,High quality
P45394,meso,46.73317468,88.88,High quality
P45395,meso,55.88869319,94.45,High quality
P45470,thermo,61.23116631,98.44,High quality
P45523,meso,41.77413294,86.56,High quality
P45568,meso,55.10368483,97.3,High quality
P45578,meso,44.98578368,96.45,High quality
P45748,meso,43.88679115,95.06,High quality
P45771,meso,51.12038409,82.26,High quality
P45799,meso,55.24364465,96.35,High quality
P45955,meso,57.03783741,77.82,High quality
P46837,meso,48.1849644,89.49,High quality
P46852,meso,57.38983375,97.74,High quality
P46853,thermo,62.295186,97.12,High quality
